GlobalID,CreationDate,Rank the strategies you would like to see implemented for enhancing roadway safety.,,,,,,,,,,,
48b9e1ee-5565-499d-83e7-207c7629dc01,10/25/2024 12:47,"lower_speeds,enforcement_response,awareness_education,equitable_access,multimodal_access,roadway_facilities",,,,,,,,,,,
3bc86574-afb9-45e6-8a54-f69c444cf663,10/25/2024 19:32,"lower_speeds,enforcement_response,awareness_education,equitable_access,roadway_facilities,multimodal_access",,,,,,,,,,,
80f89b60-333d-4948-8dd1-30fc35b68d96,10/25/2024 20:03,"roadway_facilities,multimodal_access,awareness_education,lower_speeds,enforcement_response,equitable_access",,,,,,,,,,,
281ba2c9-95eb-4d12-8ac9-d94efc2742e6,10/25/2024 21:12,"enforcement_response,equitable_access,lower_speeds,awareness_education,multimodal_access,roadway_facilities",,,,,,,,,,,
c251232e-ab8f-4df1-88e9-7a1f9ac4474e,10/25/2024 21:15,"roadway_facilities,lower_speeds,multimodal_access,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
66cf3338-1232-4fab-85df-ab36640aef8e,10/25/2024 21:19,"roadway_facilities,lower_speeds,equitable_access,enforcement_response,awareness_education,multimodal_access",,,,,,,,,,,
6d557733-c2b5-43b0-86bf-3a12ee288f14,10/25/2024 21:48,"roadway_facilities,awareness_education,enforcement_response,multimodal_access,lower_speeds,equitable_access",,,,,,,,,,,
018d21e4-cd5c-4bcf-8a12-4a64f5a41138,10/25/2024 22:58,"awareness_education,lower_speeds,roadway_facilities,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
190367c7-d063-4a24-8531-32a207e4b6fd,10/26/2024 2:58,"roadway_facilities,lower_speeds,enforcement_response,awareness_education,equitable_access,multimodal_access",,,,,,,,,,,
43c86210-4504-46f0-8b29-b728af06f21b,10/26/2024 3:39,"lower_speeds,roadway_facilities,enforcement_response,multimodal_access,equitable_access,awareness_education",,,,,,,,,,,
adf4e432-c0d0-4759-853a-445f0b4b00e3,10/26/2024 10:25,"roadway_facilities,lower_speeds,multimodal_access,awareness_education,enforcement_response,equitable_access",,,,,,,,,,,
9b8debba-5e9d-4483-8823-3f1a888d773c,10/26/2024 14:40,"roadway_facilities,awareness_education,enforcement_response,equitable_access,multimodal_access,lower_speeds",,,,,,,,,,,
82e46b75-b9bd-4b54-8966-c44dfb0f9783,10/27/2024 2:38,"roadway_facilities,multimodal_access,enforcement_response,equitable_access,lower_speeds,awareness_education",,,,,,,,,,,
ab7f9abb-e326-4b1d-8ab9-0aef1a4e0259,10/27/2024 16:01,"roadway_facilities,equitable_access,multimodal_access,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
9a7cad14-498e-4932-8f74-f9790d4d9e57,10/27/2024 18:51,"equitable_access,enforcement_response,roadway_facilities,multimodal_access,awareness_education,lower_speeds",,,,,,,,,,,
0d343259-06cb-4bd3-8d56-494da362f811,10/28/2024 2:43,"enforcement_response,awareness_education,multimodal_access,lower_speeds,roadway_facilities,equitable_access",,,,,,,,,,,
b1c3f9d0-6336-4299-89ce-188d4aa757f0,10/28/2024 17:30,"roadway_facilities,multimodal_access,lower_speeds,enforcement_response,awareness_education,equitable_access",,,,,,,,,,,
d82ed01e-198a-4be5-80ff-e2ee48e4c717,10/28/2024 19:09,"multimodal_access,equitable_access,roadway_facilities,awareness_education,enforcement_response,lower_speeds",,,,,,,,,,,
da40462c-fdb6-485f-8fdd-20d039ba1b17,10/28/2024 19:26,"roadway_facilities,multimodal_access,lower_speeds,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
e369b352-f2c7-48f2-89a0-1c8c0aadb935,10/28/2024 21:39,"roadway_facilities,enforcement_response,awareness_education,multimodal_access,equitable_access,lower_speeds",,,,,,,,,,,
10edb962-2fc3-4fde-8ac3-b60bcb01abbc,10/28/2024 23:14,"roadway_facilities,enforcement_response,equitable_access,multimodal_access,awareness_education,lower_speeds",,,,,,,,,,,
fb7765eb-d643-4683-86b3-d9d7805cd921,10/28/2024 23:32,"lower_speeds,equitable_access,roadway_facilities,enforcement_response,multimodal_access,awareness_education",,,,,,,,,,,
068c504a-7ca7-4e60-8ae5-667d3e362959,10/29/2024 0:32,"roadway_facilities,multimodal_access,lower_speeds,awareness_education,equitable_access,enforcement_response",,,,,,,,,,,
3145d51a-20cb-4679-8d07-c29d4056adf1,10/29/2024 2:10,"roadway_facilities,lower_speeds,multimodal_access,equitable_access,enforcement_response,awareness_education",,,,,,,,,,,
0915eba8-68da-4ce4-8403-b3b28e579b6d,10/29/2024 14:23,"multimodal_access,equitable_access,roadway_facilities,awareness_education,lower_speeds,enforcement_response",,,,,,,,,,,
5bf86b54-e102-4732-87e0-555a5fd2b552,10/29/2024 16:14,"lower_speeds,roadway_facilities,multimodal_access,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
a674b2db-cca0-40af-85de-fc1e9f61126c,10/29/2024 16:16,"equitable_access,lower_speeds,enforcement_response,multimodal_access,roadway_facilities,awareness_education",,,,,,,,,,,
4c93f54b-bd5c-4d4e-8e7c-abdfee79309a,10/29/2024 18:12,"roadway_facilities,enforcement_response,awareness_education,lower_speeds,equitable_access,multimodal_access",,,,,,,,,,,
6b77f3e9-a997-4613-87be-7aca4fe35c83,10/29/2024 20:42,"roadway_facilities,awareness_education,lower_speeds,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
abe4370b-1b30-4dd9-811f-e48e9dce6901,10/29/2024 22:23,"roadway_facilities,lower_speeds,multimodal_access,awareness_education,enforcement_response,equitable_access",,,,,,,,,,,
964519ef-b693-40b0-8fc6-85de5f61ce4c,10/30/2024 0:05,"roadway_facilities,multimodal_access,equitable_access,lower_speeds,enforcement_response,awareness_education",,,,,,,,,,,
4e63b8fc-e4b1-401b-8bac-fbe27e3e2982,10/30/2024 3:27,"enforcement_response,roadway_facilities,equitable_access,multimodal_access,awareness_education,lower_speeds",,,,,,,,,,,
25b21d31-2ed8-4697-806b-f8ee5a4fd010,10/30/2024 3:29,"lower_speeds,roadway_facilities,enforcement_response,equitable_access,multimodal_access,awareness_education",,,,,,,,,,,
7a80c7cc-238a-48ff-8408-c0dacade51ba,10/30/2024 12:40,"multimodal_access,lower_speeds,equitable_access,roadway_facilities,enforcement_response,awareness_education",,,,,,,,,,,
04f5f288-0dbc-4238-807b-e7f20b399fed,10/30/2024 14:21,"multimodal_access,equitable_access,roadway_facilities,enforcement_response,lower_speeds,awareness_education",,,,,,,,,,,
ccff8ef7-54ea-4eaf-838c-a1f887d6d5da,10/30/2024 15:26,"roadway_facilities,enforcement_response,multimodal_access,equitable_access,awareness_education,lower_speeds",,,,,,,,,,,
99d8f25c-d359-4140-8ef6-d3e8fa2cc52f,10/30/2024 15:54,"lower_speeds,multimodal_access,roadway_facilities,enforcement_response,awareness_education,equitable_access",,,,,,,,,,,
6568e8de-d3e4-41ae-85c9-79e6358b6147,10/30/2024 16:18,"awareness_education,lower_speeds,enforcement_response,equitable_access,multimodal_access,roadway_facilities",,,,,,,,,,,
e0757522-e913-4ce8-8efb-bccffa529cfb,10/30/2024 16:25,"awareness_education,enforcement_response,roadway_facilities,lower_speeds,multimodal_access,equitable_access",,,,,,,,,,,
dec2c9b0-1a8b-40cf-8cd3-a1d83abebd6e,10/30/2024 17:02,"roadway_facilities,multimodal_access,equitable_access,lower_speeds,enforcement_response,awareness_education",,,,,,,,,,,
899069c4-8c31-47e6-8438-5ac3d5955a7b,10/30/2024 17:20,"roadway_facilities,awareness_education,lower_speeds,enforcement_response,equitable_access,multimodal_access",,,,,,,,,,,
e9fbba83-9db6-4d9b-8f1d-f2f97ec8602f,10/30/2024 17:39,"enforcement_response,roadway_facilities,multimodal_access,equitable_access,lower_speeds,awareness_education",,,,,,,,,,,
48e2c1df-2c8b-4edc-83ab-c419b5244210,10/30/2024 17:43,"roadway_facilities,equitable_access,enforcement_response,multimodal_access,lower_speeds,awareness_education",,,,,,,,,,,
e1299de6-2f98-4c09-8d03-1a679c6f089d,10/30/2024 17:49,"multimodal_access,equitable_access,roadway_facilities,awareness_education,enforcement_response,lower_speeds",,,,,,,,,,,
69921275-5c62-4d2b-8f6a-ce155201d062,10/30/2024 17:55,"multimodal_access,equitable_access,roadway_facilities,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
35e71003-cd30-4113-8629-1e3d480a6cc6,10/30/2024 18:05,"awareness_education,equitable_access,multimodal_access,roadway_facilities,enforcement_response,lower_speeds",,,,,,,,,,,
2fd75173-3e33-40b4-88c2-818335a093fe,10/30/2024 21:13,"roadway_facilities,lower_speeds,awareness_education,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
248cd885-1d27-497c-89b4-d3a0c7469c67,10/30/2024 21:50,"roadway_facilities,multimodal_access,equitable_access,enforcement_response,lower_speeds,awareness_education",,,,,,,,,,,
49259f1b-a302-4207-8b86-874e7ac70f74,10/30/2024 21:52,"equitable_access,lower_speeds,awareness_education,enforcement_response,multimodal_access,roadway_facilities",,,,,,,,,,,
10c7da00-707d-4596-8043-d69a79b29feb,10/31/2024 0:47,"enforcement_response,awareness_education,roadway_facilities,multimodal_access,lower_speeds,equitable_access",,,,,,,,,,,
d7ff9e94-928b-4f73-8a07-40de5c7d2dc9,10/31/2024 3:33,"multimodal_access,lower_speeds,equitable_access,enforcement_response,awareness_education,roadway_facilities",,,,,,,,,,,
9303c74b-3f03-49bd-861e-d6baecf8377b,10/31/2024 10:39,"enforcement_response,roadway_facilities,awareness_education,lower_speeds,equitable_access,multimodal_access",,,,,,,,,,,
68b2dfe7-0152-4624-8bcb-d4bb2fe7ac19,10/31/2024 13:03,"multimodal_access,roadway_facilities,equitable_access,enforcement_response,awareness_education,lower_speeds",,,,,,,,,,,
41870450-b4e0-4b9b-8623-77e6820e8a61,10/31/2024 13:27,"enforcement_response,multimodal_access,roadway_facilities,lower_speeds,awareness_education,equitable_access",,,,,,,,,,,
d1664db1-e9a2-4d0c-8f16-2218ebe85eb5,10/31/2024 14:38,"multimodal_access,enforcement_response,lower_speeds,roadway_facilities,awareness_education,equitable_access",,,,,,,,,,,
31fb2d16-efb9-4885-8912-f64e445348a5,10/31/2024 14:52,"enforcement_response,awareness_education,equitable_access,lower_speeds,multimodal_access,roadway_facilities",,,,,,,,,,,
e1385d0a-db48-4360-847a-387cb06b4ede,10/31/2024 18:49,"multimodal_access,equitable_access,roadway_facilities,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
3a54dae2-55f6-4daa-8d6a-7f1a6b080508,10/31/2024 20:23,"multimodal_access,equitable_access,awareness_education,roadway_facilities,enforcement_response,lower_speeds",,,,,,,,,,,
69b5ccbd-6ada-4858-8627-838a6332119f,10/31/2024 21:02,"roadway_facilities,multimodal_access,awareness_education,equitable_access,enforcement_response,lower_speeds",,,,,,,,,,,
97198099-b6db-4e54-8482-1b527801fd08,11/2/2024 13:05,"equitable_access,multimodal_access,lower_speeds,roadway_facilities,awareness_education,enforcement_response",,,,,,,,,,,
0eeb9b29-ce13-4160-82fd-8f05136e0905,11/2/2024 16:35,"roadway_facilities,equitable_access,multimodal_access,awareness_education,enforcement_response,lower_speeds",,,,,,,,,,,
fed69e13-ceaf-44de-8840-5d2856bac9c0,11/2/2024 17:13,"lower_speeds,enforcement_response,roadway_facilities,awareness_education,multimodal_access,equitable_access",,,,,,,,,,,
faa2b23b-5c20-488e-8827-4fbd437dfcce,11/2/2024 18:09,"enforcement_response,multimodal_access,awareness_education,equitable_access,roadway_facilities,lower_speeds",,,,,,,,,,,
ac22501c-1277-40fe-8377-80d6d245fe49,11/2/2024 18:24,"multimodal_access,equitable_access,roadway_facilities,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
3abd1df3-d823-4b06-82e1-0eb83f955c17,11/2/2024 18:48,"roadway_facilities,enforcement_response,awareness_education,multimodal_access,equitable_access,lower_speeds",,,,,,,,,,,
f5486b60-8438-4853-8c2b-64fa4a975785,11/2/2024 18:50,"multimodal_access,roadway_facilities,equitable_access,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
3c36f840-4485-4b2e-8768-2a3f08a47056,11/2/2024 18:54,"roadway_facilities,multimodal_access,lower_speeds,enforcement_response,awareness_education,equitable_access",,,,,,,,,,,
dfafef22-e11c-493e-81a5-998e0a57a575,11/2/2024 18:58,"roadway_facilities,multimodal_access,lower_speeds,awareness_education,enforcement_response,equitable_access",,,,,,,,,,,
23de71d5-8090-479e-8575-dfecccdb6c32,11/2/2024 19:01,"roadway_facilities,lower_speeds,equitable_access,multimodal_access,awareness_education,enforcement_response",,,,,,,,,,,
35e5295a-33b4-4050-8a5f-809530e0f371,11/2/2024 19:04,"multimodal_access,awareness_education,enforcement_response,roadway_facilities,equitable_access,lower_speeds",,,,,,,,,,,
86d0a0bc-bf6e-48d2-81aa-2fb074fa8a54,11/2/2024 19:07,"equitable_access,enforcement_response,multimodal_access,roadway_facilities,awareness_education,lower_speeds",,,,,,,,,,,
bcee1794-6772-41e7-8cf3-19ae36e4c4ba,11/2/2024 19:11,"multimodal_access,equitable_access,enforcement_response,lower_speeds,awareness_education,roadway_facilities",,,,,,,,,,,
490b3100-e9f2-455c-8c3a-d479206d32ab,11/2/2024 19:18,"enforcement_response,awareness_education,roadway_facilities,equitable_access,multimodal_access,lower_speeds",,,,,,,,,,,
ab7ebf7d-5b60-43bd-8c5b-59d820c51ecf,11/2/2024 19:25,"multimodal_access,lower_speeds,equitable_access,awareness_education,roadway_facilities,enforcement_response",,,,,,,,,,,
90e4a457-b6a3-4de6-8cde-3d555874dcc4,11/2/2024 19:30,"multimodal_access,equitable_access,roadway_facilities,enforcement_response,lower_speeds,awareness_education",,,,,,,,,,,
bf367c8b-9055-4906-8557-b3144dd820f1,11/2/2024 19:33,"enforcement_response,roadway_facilities,multimodal_access,awareness_education,lower_speeds,equitable_access",,,,,,,,,,,
c47b1002-08ea-446f-8f5a-d7474d6cc455,11/2/2024 19:38,"enforcement_response,lower_speeds,roadway_facilities,multimodal_access,equitable_access,awareness_education",,,,,,,,,,,
e744883d-3c90-41ce-8412-d1df0c83d608,11/2/2024 19:40,"equitable_access,enforcement_response,lower_speeds,roadway_facilities,multimodal_access,awareness_education",,,,,,,,,,,
9cae2ab9-c929-45bc-8a66-93fddc9b00e5,11/2/2024 19:41,"lower_speeds,roadway_facilities,equitable_access,multimodal_access,awareness_education,enforcement_response",,,,,,,,,,,
3c7e8bdf-8cce-4796-8efe-5ddce8703074,11/2/2024 19:43,"lower_speeds,roadway_facilities,multimodal_access,enforcement_response,awareness_education,equitable_access",,,,,,,,,,,
5f7d5f73-abdf-4d1a-849e-85a0dd3e9ea4,11/2/2024 19:45,"equitable_access,enforcement_response,awareness_education,lower_speeds,roadway_facilities,multimodal_access",,,,,,,,,,,
396546d8-158d-42a1-818f-b95af3cfbacf,11/2/2024 19:49,"roadway_facilities,multimodal_access,equitable_access,awareness_education,enforcement_response,lower_speeds",,,,,,,,,,,
17004dcc-30c3-4af3-888f-03def1834013,11/2/2024 21:11,"roadway_facilities,enforcement_response,multimodal_access,lower_speeds,equitable_access,awareness_education",,,,,,,,,,,
dc9e5732-0ac6-4528-823f-1239a28aa0b9,11/2/2024 21:45,"enforcement_response,awareness_education,equitable_access,lower_speeds,multimodal_access,roadway_facilities",,,,,,,,,,,
f9778c5b-d442-4bdc-8424-7d26ba6321cd,11/3/2024 1:13,"lower_speeds,equitable_access,awareness_education,multimodal_access,enforcement_response,roadway_facilities",,,,,,,,,,,
673876c7-3cc2-404c-8681-eaf362b37a6a,11/3/2024 1:31,"roadway_facilities,enforcement_response,lower_speeds,awareness_education,equitable_access,multimodal_access",,,,,,,,,,,
684892c6-a23e-4703-8532-3b9047ab1978,11/3/2024 2:53,"multimodal_access,lower_speeds,equitable_access,enforcement_response,awareness_education,roadway_facilities",,,,,,,,,,,
1b290dfa-4306-4d3a-8b6c-25384c84dd70,11/3/2024 12:27,"roadway_facilities,multimodal_access,equitable_access,lower_speeds,enforcement_response,awareness_education",,,,,,,,,,,
0c619113-6bc1-48b6-88bd-855e16b7eb6b,11/3/2024 13:21,"multimodal_access,roadway_facilities,equitable_access,enforcement_response,awareness_education,lower_speeds",,,,,,,,,,,
f338e4de-92a9-471f-8281-44bb113f246b,11/3/2024 15:54,"roadway_facilities,enforcement_response,equitable_access,multimodal_access,awareness_education,lower_speeds",,,,,,,,,,,
201f8662-1744-446c-84b2-67cb2d71e6f6,11/3/2024 16:21,"roadway_facilities,multimodal_access,equitable_access,enforcement_response,awareness_education,lower_speeds",,,,,,,,,,,
319c4a83-a8a2-46ff-830b-7bfa49751194,11/3/2024 16:46,"lower_speeds,enforcement_response,awareness_education,multimodal_access,equitable_access,roadway_facilities",,,,,,,,,,,
852c7201-ac55-4292-8341-1bf4d14e641d,11/3/2024 20:42,"roadway_facilities,multimodal_access,awareness_education,enforcement_response,equitable_access,lower_speeds",,,,,,,,,,,
756203f3-1faf-4ab6-899f-9d802ac462d7,11/3/2024 20:51,"roadway_facilities,lower_speeds,awareness_education,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
a55b86bc-4b13-4313-8cfa-06c5a5e380c4,11/3/2024 22:31,"enforcement_response,roadway_facilities,equitable_access,lower_speeds,awareness_education,multimodal_access",,,,,,,,,,,
8fd75df4-2534-4f00-8f60-0c28fa4bb34a,11/4/2024 3:29,"multimodal_access,equitable_access,enforcement_response,lower_speeds,roadway_facilities,awareness_education",,,,,,,,,,,
c43abde7-63cf-4ad3-832e-5c29d1ba4802,11/4/2024 8:50,"roadway_facilities,enforcement_response,lower_speeds,equitable_access,multimodal_access,awareness_education",,,,,,,,,,,
28929095-e104-4784-8568-8e11605a4bcd,11/4/2024 13:02,"roadway_facilities,enforcement_response,lower_speeds,awareness_education,equitable_access,multimodal_access",,,,,,,,,,,
11375789-759d-4c57-8811-ffd0d2f80700,11/4/2024 13:29,"lower_speeds,roadway_facilities,enforcement_response,awareness_education,multimodal_access,equitable_access",,,,,,,,,,,
3f90a5fd-0315-4714-8d33-cf038c421264,11/4/2024 13:42,"roadway_facilities,enforcement_response,lower_speeds,awareness_education,multimodal_access,equitable_access",,,,,,,,,,,
24d0133e-ba61-4be5-86c7-1d90bec896a4,11/4/2024 16:29,"multimodal_access,roadway_facilities,equitable_access,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
6a0a74c6-c806-463f-8319-7e2238b24087,11/4/2024 17:01,"enforcement_response,roadway_facilities,awareness_education,equitable_access,multimodal_access,lower_speeds",,,,,,,,,,,
849f1021-67cc-4840-8d08-381c8274d211,11/4/2024 19:32,"roadway_facilities,multimodal_access,lower_speeds,enforcement_response,equitable_access,awareness_education",,,,,,,,,,,
81864525-ca89-4673-8582-f23de6e1fef3,11/4/2024 20:30,"multimodal_access,roadway_facilities,lower_speeds,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
92333da2-3c3e-423a-8866-742cad848c53,11/4/2024 21:23,"roadway_facilities,lower_speeds,awareness_education,enforcement_response,multimodal_access,equitable_access",,,,,,,,,,,
a27fbf17-91d8-44e1-8d25-815d075ee217,11/4/2024 23:21,"lower_speeds,enforcement_response,awareness_education,roadway_facilities,multimodal_access,equitable_access",,,,,,,,,,,
025a65aa-6343-418b-8e2a-9e195ba7350f,11/5/2024 3:38,"multimodal_access,roadway_facilities,enforcement_response,awareness_education,lower_speeds,equitable_access",,,,,,,,,,,
6f4c2981-4ff5-4e6b-8986-fd5237a035e3,11/5/2024 13:52,"roadway_facilities,awareness_education,multimodal_access,enforcement_response,equitable_access,lower_speeds",,,,,,,,,,,
3ad60e22-71c0-49aa-85fc-a47669c61127,11/5/2024 18:28,"awareness_education,enforcement_response,roadway_facilities,multimodal_access,equitable_access,lower_speeds",,,,,,,,,,,
26341585-a0a4-410b-8c37-46920c8e8943,11/6/2024 17:55,"roadway_facilities,lower_speeds,multimodal_access,equitable_access,enforcement_response,awareness_education",,,,,,,,,,,
d166a994-d7ef-41cb-8bfe-ce464c0bd94a,11/8/2024 2:42,"lower_speeds,awareness_education,equitable_access,multimodal_access,enforcement_response,roadway_facilities",,,,,,,,,,,
2036d6bc-15da-4007-82ec-d14e42c7a18b,11/8/2024 18:10,"equitable_access,multimodal_access,lower_speeds,enforcement_response,roadway_facilities,awareness_education",,,,,,,,,,,
ff2902a4-8714-4560-81a6-7a3cdd789c9e,11/8/2024 18:22,"lower_speeds,roadway_facilities,multimodal_access,equitable_access,awareness_education,enforcement_response",,,,,,,,,,,
bdeee153-d4c0-47c9-849d-4d7b89806913,11/8/2024 18:53,"enforcement_response,roadway_facilities,lower_speeds,awareness_education,equitable_access,multimodal_access",,,,,,,,,,,
46e7e600-d974-4e47-838f-6b69d892a2da,11/8/2024 19:35,"lower_speeds,enforcement_response,roadway_facilities,awareness_education,multimodal_access,equitable_access",,,,,,,,,,,
c17d3f5d-a0c4-478a-8258-60ea94d58acc,11/8/2024 19:38,"enforcement_response,roadway_facilities,awareness_education,lower_speeds,multimodal_access,equitable_access",,,,,,,,,,,
8be35d1c-e1fc-4687-80b3-4f5598a17f73,11/8/2024 19:39,"awareness_education,enforcement_response,roadway_facilities,equitable_access,multimodal_access,lower_speeds",,,,,,,,,,,
414aaf17-7a21-4d67-877c-7d5488bb5871,11/9/2024 2:41,"multimodal_access,roadway_facilities,equitable_access,lower_speeds,awareness_education,enforcement_response",,,,,,,,,,,
ebf3d60c-861b-4c2a-8e38-8b27fb37037c,11/9/2024 3:15,"equitable_access,roadway_facilities,multimodal_access,awareness_education,enforcement_response,lower_speeds",,,,,,,,,,,
ccfb8119-9fc0-4d20-8d3e-9c9530b5f4c9,11/9/2024 3:31,"multimodal_access,awareness_education,equitable_access,enforcement_response,roadway_facilities,lower_speeds",,,,,,,,,,,
eb1d4333-7fc5-4a47-8f66-fd77387f80d1,11/9/2024 5:05,"lower_speeds,awareness_education,multimodal_access,roadway_facilities,equitable_access,enforcement_response",,,,,,,,,,,
dea953c0-1162-4063-81cb-b3edf7cf2690,11/9/2024 12:23,"roadway_facilities,equitable_access,lower_speeds,multimodal_access,enforcement_response,awareness_education",,,,,,,,,,,
